Taxa;Size.1;Size.2;Size.3;Size.4;Size.5;Size.6;Size.7;Lcy.1;Lcy.2;Pcy.1;Pcy.2;Pcy.3;Aq.egg;Aq.lar;Aq.nym;Aq.adu;Rep.ovo;Rep.egf;Rep.egc;Rep.clcf;Rep.clfr;Rep.clve;Rep.cltr;Rep.asx;Di.aqpa;Di.aqac;Di.aepa;Di.aeac;Resp.te;Resp.gi;Resp.pl;Resp.sp;Resp.hy;Loc.fl;Loc.ssw;Loc.wsw;Loc.cr;Loc.bu;Loc.in;Loc.te;Loc.pe;Fo.mi;Fo.de;Fo.dpl;Fo.lmi;Fo.lma;Fo.dan;Fo.lmii;Fo.lmai;Fo.ve;Ffg.ab;Ffg.de;Ffg.sh;Ffg.sc;Ffg.ff;Ffg.pi;Ffg.pr;Ffg.pa;Sub.co;Sub.gr;Sub.sa;Sub.si;Sub.ma;Sub.mi;Sub.tw;Sub.li;Sub.mu;Trs.oli;Trs.mes;Trs.eut;Tem.ps;Tem.th;Tem.eu;Sab.xe;Sab.ol;Sab.bme;Sab.ame;Sab.po;pH.1;pH.2;pH.3;pH.4;pH.5;pH.6
Piscicola geometra;0;0;0;0;0,4;0,6;0;1;0;0;1;0;0,375;0,375;0;0,25;0;0;0,6;0,4;0;0;0;0;0,6;0,4;0;0;1;0;0;0;0;0;0;0;0,6;0;0;0,4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0,5;0;0,5;0,3;0,1;0;0;0,5;0;0;0,1;0;0;0,75;0,25;0;0;1;0;0;0,75;0,25;0;0;0;0;0,2;0,2;0,6
Helobdella stagnalis;0;0;0,75;0,25;0;0;0;0,75;0,25;0;0,75;0,25;0,333333333;0,333333333;0;0,333333333;0,666666667;0;0;0;0,333333333;0;0;0;0,5;0,5;0;0;1;0;0;0;0;0;0;0;0,666666667;0,166666667;0;0,166666667;0;0;0;0;0;0;0;0;0,75;0,25;0;0;0;0;0;1;0;0;0,2;0;0;0;0,5;0;0;0,3;0;0;0,4;0,6;0;0;1;0;0;0,333333333;0,666666667;0;0,090909091;0,090909091;0,090909091;0,181818182;0,272727273;0,272727273
Theromyzon tessulatum;0;0;0;0;1;0;0;0;1;0;1;0;0,375;0,375;0;0,25;0,666666667;0;0;0;0,333333333;0;0;0;0,333333333;0,166666667;0,5;0;1;0;0;0;0;0;0;0;0,75;0;0;0,25;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0,428571429;0;0;0;0,571428571;0;0;0;0;0;1;0;0;0;1;0;0;0,6;0,4;0;0;0;0;0;0,25;0,75
Haemopis sanguisuga;0;0;0;0;0;1;0;0;1;0;1;0;0,2;0,6;0;0,2;0;0;0;0,6;0;0;0,4;0;0,333333333;0,333333333;0,333333333;0;1;0;0;0;0;0;0;0,142857143;0,571428571;0,142857143;0;0,142857143;0;0;0;0;0;0;0,285714286;0,142857143;0,428571429;0,142857143;0;0;0;0;0;0,5;0,5;0;0,666666667;0;0;0;0,333333333;0;0;0;0;0,2;0,6;0,2;0;0;1;0;0;0,5;0,5;0;0;0;0,166666667;0,166666667;0,333333333;0,333333333
Dina lineata;0;0;0;0;1;0;0;0,25;0,75;0,25;0,75;0;0,375;0,375;0;0,25;0;0;0;1;0;0;0;0;0,5;0,5;0;0;1;0;0;0;0;0;0;0;0,666666667;0,166666667;0;0,166666667;0;0;0;0;0;0;0,333333333;0,166666667;0,5;0;0;0;0;0;0;0;1;0;0,125;0;0;0;0,375;0;0;0,25;0,25;0;1;0;0;0;1;0;0;0,5;0,5;0;0;0;0,1;0,3;0,3;0,3
Ancylus fluviatilis;0;0;0,5;0,5;0;0;0;1;0;0;1;0;0,5;0;0;0,5;0;0;0;1;0;0;0;0;0,5;0,25;0,25;0;1;0;0;0;0;0;0;0;0,6;0;0;0,4;0;0;0;0,222222222;0,555555556;0,222222222;0;0;0;0;0;0;0;1;0;0;0;0;0,357142857;0,285714286;0;0;0,142857143;0,142857143;0,071428571;0;0;0,666666667;0,333333333;0;0;0;1;0,142857143;0,285714286;0,285714286;0,285714286;0;0;0;0;0,2;0,2;0,6
Acroloxus lacustris;0;0;1;0;0;0;0;1;0;0;1;0;0,5;0;0;0,5;0;0;0;1;0;0;0;0;0,666666667;0,333333333;0;0;1;0;0;0;0;0;0;0;0,25;0,75;0;0;0;0;0;0,285714286;0,571428571;0;0,142857143;0;0;0;0;0;0,25;0,75;0;0;0;0;0,076923077;0;0;0;0,384615385;0,153846154;0;0,153846154;0,230769231;0;0,6;0,4;0;0;1;0;0,2;0,4;0,4;0;0;0;0,142857143;0,142857143;0,285714286;0,428571429
Bathyomphalus contortus;0;0,6;0,4;0;0;0;0;1;0;0;1;0;0,5;0;0;0,5;0;0;0;1;0;0;0;0;0,666666667;0,333333333;0;0;1;0;0;0;0;0;0,25;0;0,75;0;0;0;0;0;0,5;0,333333333;0;0;0,166666667;0;0;0;0;0;1;0;0;0;0;0;0,230769231;0,076923077;0;0;0,384615385;0,076923077;0;0;0,230769231;0,75;0,25;0;0;0;1;0;0,333333333;0,5;0,166666667;0;0,1;0,1;0,1;0,1;0,3;0,3
Physa fontinalis;0;0;0,25;0,75;0;0;0;0,75;0,25;0;1;0;0,5;0;0;0,5;0;0;0;1;0;0;0;0;0,666666667;0,333333333;0;0;0,75;0,25;0;0;0;0;0,333333333;0;0,666666667;0;0;0;0;0;0;0,272727273;0,454545455;0,090909091;0,090909091;0;0,090909091;0;0;0;0,25;0,75;0;0;0;0;0,214285714;0,071428571;0;0,071428571;0,357142857;0,071428571;0;0,071428571;0,142857143;0,2;0,4;0,4;0;0,4;0,6;0;0,166666667;0,5;0,333333333;0;0;0;0;0;0,25;0,75
Galba truncatula;0;0;0;0,75;0,25;0;0;1;0;0;0;1;0,75;0;0;0,25;0;0;0;1;0;0;0;0;0,666666667;0,333333333;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0,090909091;0,272727273;0,363636364;0,181818182;0,090909091;0;0;0;0;0;0,25;0,75;0;0;0;0;0,214285714;0,071428571;0;0;0,285714286;0,071428571;0,142857143;0;0,214285714;0,333333333;0,333333333;0,333333333;0;0;1;0,166666667;0,166666667;0,333333333;0,166666667;0,166666667;0,090909091;0,181818182;0,181818182;0,181818182;0,181818182;0,181818182
